beteckning,punkt,titel,S,M,SD,V,C,KD,MP,L
TU19,1,Flygplatshavarnas kostnader för säkerhetskontroller,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
TU5,1,,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
TU5,6,,Ja,Ja,Avstår,Nej,Avstår,Ja,Avstår,Ja
TU5,8,,Avstår,Ja,Nej,Ja,Ja,Ja,Avstår,Ja
TU6,1,,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
TU6,2,,Nej,Ja,Avstår,Ja,Avstår,Ja,Avstår,Ja
TU7,3,Trafiksäkerhet,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
TU7,7,Trafiksäkerhet,Nej,Ja,Avstår,Ja,Ja,Ja,Ja,Ja
TU7,9,Trafiksäkerhet,Avstår,Ja,Avstår,Ja,Nej,Ja,Ja,Ja
TU9,1,Yrkestrafik och taxi,Nej,Ja,Ja,Ja,Avstår,Ja,Ja,Ja
TU9,5,Yrkestrafik och taxi,Ja,Ja,Avstår,Ja,Ja,Ja,Nej,Ja
TU9,7,Yrkestrafik och taxi,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
TU9,8,Yrkestrafik och taxi,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
TU9,10,Yrkestrafik och taxi,Nej,Ja,Avstår,Ja,Ja,Ja,Ja,Ja
TU9,11,Yrkestrafik och taxi,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
TU9,14,Yrkestrafik och taxi,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
UFöU1,3,Avtal om försvarssamarbete med Amerikas förenta stater,Ja,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
UFöU1,4,Avtal om försvarssamarbete med Amerikas förenta stater,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
UFöU1,5,Avtal om försvarssamarbete med Amerikas förenta stater,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
UFöU1,6,Avtal om försvarssamarbete med Amerikas förenta stater,Ja,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
UU10,1,Verksamheten i Europeiska unionen under 2023,Avstår,Ja,Ja,Avstår,Nej,Ja,Avstår,Ja
UU10,2,Verksamheten i Europeiska unionen under 2023,Nej,Ja,Ja,Ja,Avstår,Ja,Nej,Ja
UU10,3,Verksamheten i Europeiska unionen under 2023,Ja,Nej,Ja,Ja,Ja,Nej,Ja,Nej
UU10,6,Verksamheten i Europeiska unionen under 2023,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
UU11,1,Vissa säkerhetspolitiska frågor,Avstår,Ja,Avstår,Nej,Avstår,Ja,Nej,Ja
UU11,2,Vissa säkerhetspolitiska frågor,Ja,Ja,Nej,Ja,Avstår,Ja,Ja,Ja
UU11,6,Vissa säkerhetspolitiska frågor,Nej,Ja,Avstår,Ja,Avstår,Ja,Ja,Ja
UU11,7,Vissa säkerhetspolitiska frågor,Avstår,Ja,Ja,Nej,Ja,Ja,Nej,Ja
UU12,1,Organisationen för säkerhet och samarbete i Europa (OSSE),Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
UU12,2,Organisationen för säkerhet och samarbete i Europa (OSSE),Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
UU14,1,Mänskliga rättigheter,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
UU14,2,Mänskliga rättigheter,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja
UU14,3,Mänskliga rättigheter,Ja,Ja,Nej,Ja,Avstår,Ja,Ja,Ja
UU14,4,Mänskliga rättigheter,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
UU15,1,Mellanöstern och Nordafrika,Ja,Ja,Ja,Avstår,Nej,Ja,Avstår,Ja
UU15,4,Mellanöstern och Nordafrika,Avstår,Ja,Ja,Nej,Ja,Ja,Nej,Ja
UU15,6,Mellanöstern och Nordafrika,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
UU15,7,Mellanöstern och Nordafrika,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja
UU15,8,Mellanöstern och Nordafrika,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
UU15,10,Mellanöstern och Nordafrika,Nej,Ja,Ja,Avstår,Ja,Ja,Avstår,Ja
UU2,2,,Nej,Ja,Ja,Nej,Avstår,Ja,Nej,Ja
UU3,1,Vitbok om exportkontroll av produkter med dubbla användningsområden,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
UU4,1,Nordiskt samarbete inklusive Arktis,Ja,Ja,Nej,Avstår,Avstår,Ja,Ja,Ja
UU4,2,Nordiskt samarbete inklusive Arktis,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
UU4,5,Nordiskt samarbete inklusive Arktis,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
UU4,6,Nordiskt samarbete inklusive Arktis,Ja,Ja,Avstår,Nej,Ja,Ja,Nej,Ja
UU4,7,Nordiskt samarbete inklusive Arktis,Nej,Ja,Ja,Ja,Avstår,Ja,Avstår,Ja
UU5,1,,Ja,Ja,Nej,Avstår,Ja,Ja,Avstår,Ja
UU7,1,Internationella relationer m.m.,Nej,Ja,Ja,Ja,Avstår,Ja,Avstår,Ja
UU7,7,Internationella relationer m.m.,Ja,Ja,Nej,Ja,Avstår,Ja,Ja,Ja
UU8,1,Internationellt bistånd,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
UU9,1,Strategisk exportkontroll 2023 – krigsmateriel och produkter med dubbla användningsområden,Ja,Ja,Avstår,Nej,Ja,Ja,Nej,Ja
UU9,2,Strategisk exportkontroll 2023 – krigsmateriel och produkter med dubbla användningsområden,Ja,Ja,Nej,Avstår,Ja,Ja,Avstår,Ja
UbU10,2,Grundläggande om utbildning,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
UbU10,6,Grundläggande om utbildning,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
UbU10,8,Grundläggande om utbildning,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
UbU10,10,Grundläggande om utbildning,Nej,Ja,Ja,Nej,Avstår,Ja,Nej,Ja
UbU10,12,Grundläggande om utbildning,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
UbU11,3,Lärare och elever,Ja,Ja,Avstår,Nej,Avstår,Ja,Ja,Ja
UbU11,4,Lärare och elever,Ja,Ja,Ja,Ja,Avstår,Ja,Nej,Ja
UbU11,8,Lärare och elever,Ja,Ja,Nej,Ja,Avstår,Ja,Ja,Ja
UbU11,10,Lärare och elever,Avstår,Ja,Ja,Avstår,Nej,Ja,Avstår,Ja
UbU11,11,Lärare och elever,Nej,Ja,Ja,Nej,Avstår,Ja,Ja,Ja
UbU12,1,,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
UbU12,4,,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
UbU12,5,,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
UbU12,7,,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
UbU12,8,,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
UbU13,1,Vuxenutbildning,Avstår,Ja,Ja,Ja,Avstår,Ja,Nej,Ja
UbU13,2,Vuxenutbildning,Ja,Ja,Avstår,Nej,Ja,Ja,Avstår,Ja
UbU13,3,Vuxenutbildning,Avstår,Ja,Ja,Ja,Nej,Ja,Ja,Ja
